,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
9,Thriller 40,10,4WGwTL5HIiaw5OIFnwgCR9,Starlight,spotify:track:4WGwTL5HIiaw5OIFnwgCR9,0.123,0.701,0.837,2.08e-05,0.0884,-5.614,0.0384,117.448,0.636,43
10,Thriller 40,11,21fVbhoPzmlLjxWfePb6CT,Got the Hots - Demo,spotify:track:21fVbhoPzmlLjxWfePb6CT,0.0578,0.783,0.692,0.0,0.054,-5.359,0.0388,121.714,0.662,43
11,Thriller 40,12,5kMng2A15zTwpxiPHypbHm,Who Do You Know - Demo,spotify:track:5kMng2A15zTwpxiPHypbHm,0.736,0.639,0.295,3.81e-05,0.186,-11.154,0.0621,170.425,0.741,41
13,Thriller 40,14,32gg7lWCipR6jYiz9qXwSo,Behind The Mask - Mike's Mix (Demo),spotify:track:32gg7lWCipR6jYiz9qXwSo,0.137,0.76,0.784,0.149,0.274,-6.131,0.031,115.936,0.772,40
14,Thriller 40,15,5yuLvy5xOhnhMZL0SjIZcX,Can't Get Outta The Rain,spotify:track:5yuLvy5xOhnhMZL0SjIZcX,0.0227,0.721,0.946,0.0,0.355,-4.006,0.198,127.155,0.845,40
15,Thriller 40,16,2KmJ8VLU4MoX0BoCoo2LSw,The Toy - Demo,spotify:track:2KmJ8VLU4MoX0BoCoo2LSw,0.317,0.785,0.425,0.0,0.0517,-6.998,0.0348,98.968,0.943,38
16,Thriller 40,17,4vA0xg2ObT0RlUwZMDy5kZ,Sunset Driver - Demo,spotify:track:4vA0xg2ObT0RlUwZMDy5kZ,0.0117,0.807,0.765,0.0231,0.0808,-6.467,0.0414,120.705,0.408,43
17,Thriller 40,18,4INbMHPtay1Q8fU9090FCc,What A Lovely Way To Go - Demo,spotify:track:4INbMHPtay1Q8fU9090FCc,0.825,0.658,0.518,0.0,0.556,-5.194,0.0473,133.81,0.535,38
18,Thriller 40,19,1FXtdKmCuA38ClAUHI3YjZ,She's Trouble - Demo,spotify:track:1FXtdKmCuA38ClAUHI3YjZ,0.247,0.964,0.786,0.0567,0.0444,-4.573,0.0338,123.824,0.97,39
20,Thriller 40,21,1euuAfFtkRzJy489azxfLC,Billie Jean - Long Version,spotify:track:1euuAfFtkRzJy489azxfLC,0.0534,0.89,0.628,0.00815,0.0376,-4.733,0.0454,116.94,0.906,41
22,Thriller 40,23,7MwHvUIsJCd8vsAhMqyGa5,Beat It - Demo,spotify:track:7MwHvUIsJCd8vsAhMqyGa5,0.471,0.753,0.327,0.0,0.264,-9.031,0.514,138.504,0.512,37
24,Thriller 40,25,2GQIHRlbPNnZKvJUeB468J,Wanna Be Startin' Somethin' - Demo,spotify:track:2GQIHRlbPNnZKvJUeB468J,0.0561,0.837,0.912,0.000174,0.0727,-4.369,0.0588,122.371,0.715,35
25,Thriller 40,26,0knaQtcr1cKpE4VlE9mTTa,Wanna Be Startin' Somethin' - Tommy D's Main Mix,spotify:track:0knaQtcr1cKpE4VlE9mTTa,0.0962,0.723,0.982,0.00166,0.287,-3.284,0.071,120.957,0.814,34
27,Thriller 40,28,0E1aGd78m6l0qPwrjTjSpn,"Human Nature 7""",spotify:track:0E1aGd78m6l0qPwrjTjSpn,0.679,0.602,0.509,9.23e-05,0.206,-8.363,0.0325,92.803,0.601,43
28,Thriller 40,29,7FFTcmagmrEDNOe530kvhl,P.Y.T. (Pretty Young Thing) - Demo Version,spotify:track:7FFTcmagmrEDNOe530kvhl,0.406,0.727,0.601,0.00189,0.0894,-8.167,0.0346,109.212,0.622,38
