track_name,track_artist,release_year,predicted_likelihood,similarity
Jessie's Girl,Rick Springfield,1981,1.0,0.9995888765574991
Satellite of Love,Lou Reed,1972,1.0,0.9997144038790271
Run Free - Alex Grey Remix,Deep Chills,2018,1.0,0.9985609129893641
Can't Get Enough,Lookas,2016,1.0,0.9993287061410709
East Clintwood,Ostblockschlampen,2016,1.0,0.9996667815373605
Pieces,Sikdope,2017,1.0,0.9993328344986538
Lift Me Up,Toby Green,2017,1.0,0.9997049001391701
Jetlag,Mike Williams,2017,1.0,0.9996656145838254
You Really Got Me - Mono Mix,The Kinks,1964,1.0,0.9994876624813385
"break up with your girlfriend, i'm bored",Ariana Grande,2019,1.0,0.9989335353751209
Astronomia,Vicetone,2016,1.0,0.9996920022589908
Underdog,Alicia Keys,2020,1.0,0.9999693876896286
Limitless,Bassjackers,2019,1.0,0.9994987990273504
Mamo,Florian Picasso,2016,1.0,0.9996666728969399
Retrograde,Hardwell,2019,1.0,0.9996678389013736
Bad Reputation,Joan Jett & The Blackhearts,1981,1.0,0.9984673710460735
hungover & i miss u,gnash,2020,1.0,0.9996764405824154
Deleter,Grouplove,2020,1.0,0.9991485432697348
Deep,Summer Walker,2018,1.0,0.9989780017057961
Grateful,Mahalia,2019,1.0,0.999481219186041
